structure,structure_id,action,freq,ref_area,value,unit_measure,time_period,obs_value,unit_mult,breaks,coverage,title_ts,obs_status,obs_conf,obs_pre_break
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1996-Q1,-0.639,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1996-Q2,-1.2655,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1996-Q3,1.7986,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1996-Q4,4.9112,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1997-Q1,5.3745,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1997-Q2,7.5163,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1997-Q3,8.3847,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1997-Q4,6.0035,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1998-Q1,7.4117,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1998-Q2,10.7412,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1998-Q3,10.4556,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1998-Q4,10.485900000000001,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
dataflow,BIS:WS_SPP(1.0): Selected residential property prices,I,Q: Quarterly,GB: United Kingdom,R: Real,"771: Year-on-year changes, in per cent",1999-Q1,8.3852,0: Units,NA,NA,NA,A: Normal value,F: Free,NA
