structure,structure_id,action,freq,borrowers_cty,tc_borrowers,tc_lenders,valuation,unit_type,tc_adjust,time_period,obs_value,collection,unit_mult,unit_measure,title_ts,decimals,obs_status,obs_pre_break,obs_conf
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2001-Q3,1130.53,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2001-Q4,1138.807,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2002-Q1,1147.977,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2002-Q2,1192.073,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2002-Q3,1232.845,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2002-Q4,1252.504,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2003-Q1,1267.155,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2003-Q2,1305.659,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2003-Q3,1324.502,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
dataflow,BIS:WS_TC(2.0): Total credit,I,Q: Quarterly,AU: Australia,C: Non financial sector,A: All sectors,M: Market value,XDC: Domestic currency (incl. conv. to current ccy made using a fix parity),A: Adjusted for breaks,2003-Q4,1371.292,E: End of period,9: Billions,AUD: Australian dollar,Australia - Credit to Non financial sector from All sectors at Market value - domestic currency - Adjusted for breaks,NA,A: Normal value,NA,F: Free
