structure,structure_id,action,freq,ref_area,unit_measure,time_period,obs_value,unit_mult,time_format,breaks,coverage,decimals,title_ts,obs_conf,obs_pre_break,obs_status
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1931-10,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1931-11,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1931-12,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1932-01,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1932-02,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1932-03,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1932-04,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1932-05,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1932-06,2.498014,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,AU: Australia,"628: Index, 2010 = 100",1932-07,2.39393,0: Units,NA,NA,NA,NA,NA,F: Free,NA,A: Normal value
